no,est_name,council,EWA,CLA,p_IA,mean_depth,STP,R12,TEV,MCI,SCI,R12_TEV,STP_TEV,CLA_EWA,EE,est.class
178,Waikanae River,WRC,331270,21.23,49.6,1.9,451237,37380,618297,0.11,0.31,0.060,0.730,64.1,0.29,D
180,Waikawa Stream,WRC,111227,76.38,53.7,2.0,170327,152417,221858,0.13,0.30,0.687,0.768,686.7,0.38,B
181,Ohau River,MWRC,282578,183.32,0.0,3.1,601043,489408,883621,0.04,0.30,0.554,0.680,648.7,0.50,B
182,Manawatu River,MWRC,2131037,5887.36,1.9,4.2,4869597,11503469,9050692,0.04,0.25,1.271,0.538,2762.7,0.38,B
183,Rangitikei River,MWRC,393895,3927.61,3.6,4.3,931087,7749821,1690595,0.05,0.26,4.584,0.551,9971.2,0.47,B
184,Turakina River,MWRC,430385,973.39,33.7,2.8,903827,1472473,1189344,0.18,0.33,1.238,0.760,2261.7,0.32,B
185,Whangaehu River,MWRC,434608,1980.54,0.0,4.6,1109554,4187249,1978770,0.00,0.32,2.116,0.561,4557.1,0.43,B
186,Wanganui River,TRC,3222410,7071.84,0.0,2.4,8439492,17502151,7684185,0.01,0.30,2.278,1.098,2194.6,0.51,B
187,Waitotara River,TRC,103513,1172.78,0.0,3.7,284040,2299323,387553,0.06,0.23,5.933,0.733,11329.8,0.24,C
188,Whenuakura River,TRC,139768,473.50,47.3,2.7,309675,865640,383403,0.06,0.30,2.258,0.808,3387.8,0.32,B
189,Patea River,TRC,234400,1053.80,32.5,4.5,573063,2428731,1047793,0.03,0.38,2.318,0.547,4495.7,0.44,B
190,Waiwakaiho River,TRC,87739,140.21,16.9,3.6,246678,615334,319589,0.03,0.25,1.925,0.772,1598.0,0.49,B
191,Waiongana Stream,TRC,78050,160.04,4.5,4.0,234809,462257,309331,0.04,0.30,1.494,0.759,2050.5,0.39,B
192,Waitara River,TRC,419729,1153.67,0.2,5.1,1293504,3943561,2131199,0.02,0.23,1.850,0.607,2748.6,0.44,B
193,Onaero River,TRC,24752,131.43,23.9,3.5,67645,344928,86479,0.06,0.30,3.989,0.782,5309.9,0.43,B
194,Urenui River,TRC,110508,138.15,0.0,4.1,343238,425021,453746,0.00,0.24,0.937,0.756,1250.1,0.40,B
195,Mimi River,TRC,147931,134.92,39.2,3.1,369321,379738,459278,0.08,0.31,0.827,0.804,912.0,0.36,B
196,Tongaporutu River,TRC,442663,272.54,24.6,4.2,1203331,846493,1870689,0.02,0.21,0.453,0.643,615.7,0.26,C
197,Mohakatino River,TRC,70583,129.93,1.5,5.0,216433,381849,355439,0.06,0.41,1.074,0.609,1840.8,0.44,B
198,Mokau River,EW/TRC,1083911,1452.42,0.0,5.1,3343698,3915523,5511303,0.02,0.20,0.710,0.607,1340.0,0.44,B
199,Awakino River,EW,324272,382.01,0.0,5.1,997461,1281390,1646005,0.01,0.14,0.778,0.606,1178.1,0.46,B
200,Waikawau River,EW,32866,16.17,0.0,4.0,99715,40744,132581,0.02,0.19,0.307,0.752,492.0,0.29,C
201,Marakopa River,EW,659518,366.85,13.9,4.5,1837757,1137806,2973975,0.01,0.16,0.383,0.618,556.2,0.42,B
202,Waiharakeke Stream,EW,6185377,88.84,93.0,1.6,9782841,237854,9782841,0.03,0.26,0.024,1.000,14.4,0.00,F
203,Kaitawa Inlet,EW,569338,3.51,100.0,1.5,841197,6830,841197,0.05,0.35,0.008,1.000,6.2,0.00,E
204,Rakanui Inlet,EW,1888496,43.12,87.4,1.7,3142104,102156,3142104,0.02,0.20,0.033,1.000,22.8,0.00,F
205,Awaroa River,EW,2285808,162.44,81.1,1.8,4016263,490191,4016263,0.03,0.22,0.122,1.000,71.1,0.00,F
206,Oparau River,EW,1652197,131.35,85.4,1.7,2793279,387248,2793279,0.04,0.26,0.139,1.000,79.5,0.00,F
207,Mangora Inlet,EW,561788,255.71,100.0,1.5,830374,593323,830374,0.13,0.40,0.715,1.000,455.2,0.30,B
208,Te Wharu Bay,EW,1872729,3.84,100.0,1.5,2767234,7377,2767234,0.13,0.55,0.003,1.000,2.1,0.00,D
209,Kawhia Inlet,EW,52622164,53.74,68.6,1.9,102127938,117289,102127938,0.01,0.40,0.001,1.000,1.0,0.00,E
210,Kawhia Harbour System,EW,67638196,498.62,73.6,2.4,126295622,1371365,162209696,0.00,0.16,0.008,0.779,7.4,0.00,F
211,Aotea Harbour System,EW,31891708,185.28,74.1,3.2,59186968,419919,100566459,0.03,0.33,0.004,0.589,5.8,0.00,E
212,Opotoru River,EW,1815305,58.74,83.9,1.7,3078635,128475,3078635,0.00,0.22,0.042,1.000,32.4,0.00,F
213,Waitetuna Creek,EW,5131529,176.04,79.1,1.8,9057971,433940,9057971,0.01,0.29,0.048,1.000,34.3,0.00,F
214,Kerikeri/Waingaro Arm,EW,14567792,223.91,76.0,1.8,26377784,508199,26377784,0.02,0.24,0.019,1.000,15.4,0.00,F
215,Ponganui/Paihere Creeks,EW,978765,11.37,99.6,1.5,1434284,25734,1434284,0.04,0.35,0.018,1.000,11.6,0.00,E
216,Raglan Inlet,EW,9360373,52.61,46.5,2.2,20986083,112143,20986083,0.01,0.36,0.005,1.000,5.6,0.00,E
217,Raglan Harbour System,EW,31853664,522.73,69.0,0.9,60944182,1208674,27652903,0.00,0.14,0.044,2.204,16.4,0.00,F
218,Waikato River,EW,18174787,14481.08,7.7,6.4,49891290,31316401,116992603,0.01,0.13,0.268,0.426,796.8,0.25,C
219,Manukau Harbour System,ARC,365602613,1022.60,61.8,6.1,710146881,1913464,2215803524,0.00,0.15,0.001,0.320,2.8,0.00,F
220,Waitakere River,ARC,33423,39.66,88.7,1.7,51824,89689,55604,0.11,0.40,1.613,0.932,1186.6,0.56,B
221,Kaipara Harbour System,NRC/ARC,743061027,6265.87,41.9,5.4,1615117448,13592949,3992734683,0.01,0.08,0.003,0.405,8.4,0.00,F
222,Waipoua River,NRC,134637,113.66,21.7,3.2,322823,346831,428204,0.01,0.21,0.810,0.754,844.2,0.40,B
223,Waimaukau River,NRC,230951,132.47,32.0,2.9,521306,387890,678376,0.04,0.26,0.572,0.768,573.6,0.39,B
224,Hokianga Harbour System,NRC,106497969,1604.89,48.7,4.5,216172096,4274573,482972423,0.00,0.11,0.009,0.448,15.1,0.00,F
225,Whangapae Harbour System,NRC,10133520,301.39,67.1,2.4,17954810,681195,24626719,0.01,0.20,0.028,0.729,29.7,0.00,F
226,Herekino Harbour,NRC,4965966,95.04,84.3,1.7,7646102,203851,8424765,0.02,0.32,0.024,0.908,19.1,0.00,E
227,Waiatua Stream,NRC,40189,5.33,5.0,3.5,104253,11669,142421,0.08,0.43,0.082,0.732,132.6,0.00,D
228,Tanutanu Stream,NRC,171064,10.96,0.8,3.6,452892,23502,622605,0.02,0.33,0.038,0.727,64.1,0.00,E
237,Pahurehure Inlet,ARC,15213690,378.70,63.7,1.9,29153366,694954,29153366,0.01,0.14,0.024,1.000,24.9,0.00,F
238,Lucas Creek,ARC,1515016,34.89,86.9,1.5,2321528,68503,2321528,0.02,0.24,0.030,1.000,23.0,0.00,F
239,Waitangi Stream,NRC,59021,11.61,0.4,1.0,0,17734,58779,0.00,0.20,0.302,0.000,196.7,0.00,A
240,Maketu Estuary (No Kaituna River),EBOP,2182561,22.07,58.3,1.6,2639051,45792,3548524,0.01,0.41,0.013,0.744,10.1,0.00,E
241,Waitahanui Stream,EBOP,29458,113.83,0.0,2.7,50020,302844,79478,0.01,0.20,3.810,0.629,3864.1,0.16,C
242,Otaki River,WRC,162113,367.51,0.0,3.0,325037,1800703,487150,0.01,0.23,3.696,0.667,2267.0,0.21,C
243,Ohau Bay,WRC,357325,3.66,0.0,5.7,212251,6090,2038928,0.30,0.82,0.003,0.104,10.2,0.00,D
244,Mercury Bay,EW,18928818,41.07,2.5,8.5,32298500,100883,161474432,0.35,0.63,0.001,0.200,2.2,0.00,D
245,Firth of Thames,EW/ARC,716657133,543.78,15.3,2.6,1891415910,1139658,1891415910,0.15,0.70,0.001,1.000,0.8,0.00,D
246,Puhinui Creek,ARC,643080,27.23,99.9,1.4,904391,47093,904391,0.07,0.34,0.052,1.000,42.3,0.00,E
250,North Cove,ARC,565385,3.18,37.3,2.8,1089925,6439,1561974,0.09,0.43,0.004,0.698,5.6,0.00,D
251,Bon Accord Harbour,ARC,2489135,12.04,19.2,5.0,5424129,23093,12417347,0.07,0.42,0.002,0.437,4.8,0.00,E
252,South Cove Harbour,ARC,250330,2.43,30.6,2.5,511869,4431,614853,0.20,0.58,0.007,0.833,9.7,0.00,D
253,Gardiner Gap,ARC,354374,1.14,59.6,1.5,637554,1824,539215,0.23,0.59,0.003,1.182,3.2,0.00,D
254,Islington Bay,ARC,1787308,6.19,6.9,4.4,4754895,10158,7859547,0.18,0.59,0.001,0.605,3.5,0.00,D
255,Matiatia Bay,ARC,379270,1.83,2.9,4.6,988824,2715,1743905,0.16,0.81,0.002,0.567,4.8,0.00,D
256,Owhanake Bay,ARC,293058,1.15,2.3,4.8,746236,1689,1417337,0.18,0.74,0.001,0.527,3.9,0.00,D
257,Oneroa Bay,ARC,1574017,2.43,0.7,8.1,4000498,3523,12801343,0.22,0.69,0.000,0.313,1.5,0.00,D
258,Mawhitipana Bay,ARC,375598,2.18,8.8,6.1,914388,3064,2301964,0.33,0.79,0.001,0.397,5.8,0.00,D
259,Te Matuku Bay,ARC,2423205,14.40,75.9,1.2,4350612,16015,2792307,0.07,0.43,0.006,1.558,5.9,0.00,E
260,Awaawaroa Bay,ARC,2836091,14.09,28.7,3.6,7014047,17641,10223362,0.12,0.57,0.002,0.686,5.0,0.00,D
261,Rocky Bay,ARC,1241262,5.40,30.4,3.3,3000404,7675,4104300,0.16,0.77,0.002,0.731,4.4,0.00,D
262,Putiki Bay,ARC,3354500,13.34,35.5,3.0,7777440,18993,9953530,0.06,0.36,0.002,0.781,4.0,0.00,E
263,Huruhi Bay,ARC,4604301,3.23,11.7,5.7,12139148,4819,26462932,0.22,0.66,0.000,0.459,0.7,0.00,D
264,Tryphena Harbour,ARC,6425122,18.16,4.1,13.8,13082657,40282,88523586,0.18,0.61,0.000,0.148,2.8,0.00,D
265,Blind Bay,ARC,2781170,11.22,5.3,12.1,5838203,24756,33526268,0.18,0.64,0.001,0.174,4.0,0.00,D
266,Whangaparapara Harbour,ARC,1737549,13.39,13.8,12.8,3508889,29415,22180522,0.12,0.50,0.001,0.158,7.7,0.00,D
267,Port Fitzroy/Port Albercrombie,ARC,18399744,57.64,3.2,18.9,37816307,125026,347987612,0.04,0.25,0.000,0.109,3.1,0.00,F
268,Katherine Bay,ARC,3396260,18.08,3.3,8.1,6762917,38020,27574481,0.15,0.56,0.001,0.245,5.3,0.00,D
269,Rangiwhakaea Bay,ARC,909460,7.00,1.6,8.2,1700532,14528,7420318,0.24,0.68,0.002,0.229,7.7,0.00,D
270,Whangapoua Creek,ARC,2789750,30.72,94.0,1.1,2767183,65265,2935405,0.07,0.56,0.022,0.943,11.0,0.00,E
271,Awana Bay,ARC,62979,32.66,0.0,2.9,116826,70389,179805,0.02,0.34,0.391,0.650,518.6,0.00,C
272,Kaitoke Creek,ARC,124208,17.80,30.5,2.3,195257,38743,281570,0.04,0.32,0.138,0.693,143.3,0.00,E
1001,Port Underwood,NMRC,24497807.71,38.86,1.2,12.0,30943063,82891,294283650,0.04,0.33,0.000,0.105,1.6,0.00,E
1002,Wairau River,NMRC,16056402.03,4164.77,20.0,2.8,18842997,8749566,44539663,0.00,0.13,0.196,0.423,259.4,0.12,F
1003,Awatere River,NMRC,86740.48,1573.13,11.7,2.2,110648,2382576,187275,0.01,0.30,12.722,0.591,18136.1,0.29,C
1004,Lake Grassmere,NMRC,13675801.89,62.50,0.0,1.0,0,55869,13675802,0.00,0.31,0.004,0.000,4.6,0.00,A
1005,Waiau River,CRC,480899,3324.66,0.4,2.4,696703,7118881,1175582,0.00,0.21,6.056,0.593,6913.4,0.17,C
1006,Hurunui River,CRC,178551.76,2678.48,0.0,2.5,270542,5031291,449093,0.02,0.23,11.203,0.602,15001.1,0.23,C
1007,Waipara River,CRC,114675.7,728.90,2.8,2.7,194307,839902,305806,0.00,0.22,2.747,0.635,6356.2,0.07,C
1008,Ashley River,CRC,1522496.45,1308.78,78.4,1.5,1613564,1798778,2272805,0.02,0.24,0.791,0.710,859.6,0.06,C
1009,Waimakariri River,CRC,2725134.44,3546.31,44.7,2.5,3733531,7991022,6746439,0.02,0.22,1.184,0.553,1301.3,0.15,C
1010,Avon-Heathcote River,CRC,7467153.59,211.12,66.5,1.9,8942222,202910,13948201,0.00,0.21,0.015,0.641,28.3,0.00,F
1011,Lyttelton Harbour,CRC,42485267.58,106.40,16.2,5.7,70438844,183359,242920351,0.03,0.30,0.001,0.290,2.5,0.00,E
1012,Port Levy,CRC,8187964.02,58.12,2.0,7.4,14590656,124152,60344379,0.10,0.50,0.002,0.242,7.1,0.00,D
1013,Blind/Big Bay,CRC,1082396.48,6.55,0.9,9.6,1926326,9193,10379143,0.20,0.66,0.001,0.186,6.1,0.00,D
1014,Little Pigeon Bay,CRC,476573.83,4.46,0.0,8.3,851828,6660,3979252,0.20,0.57,0.002,0.214,9.4,0.00,D
1015,Pigeon Bay,CRC,8968720.07,55.76,0.3,9.4,15989724,121529,84010556,0.08,0.53,0.001,0.190,6.2,0.00,D
1016,Scrubby Bay,CRC,304646.08,2.30,3.9,6.6,532413,3299,1996237,0.23,0.79,0.002,0.267,7.5,0.00,D
1017,Menzies Bay,CRC,1023157.29,8.71,0.9,8.7,1812483,14026,8854248,0.22,0.64,0.002,0.205,8.5,0.00,D
1018,Decanter Bay,CRC,829922.63,7.67,0.0,6.8,1475602,13079,5642346,0.17,0.71,0.002,0.262,9.2,0.00,D
1019,Little Akaloa Bay,CRC,1856330.04,18.49,3.9,6.4,3233941,37349,11800533,0.13,0.71,0.003,0.274,10.0,0.00,D
1020,Okains Bay,CRC,3654653.62,33.40,2.3,5.0,6419886,71953,18315425,0.12,0.56,0.004,0.351,9.1,0.00,D
1021,Lavericks Bay,CRC,445893.71,9.97,11.5,6.1,746580,21566,2719883,0.19,0.77,0.008,0.274,22.4,0.00,D
1022,Le Bons Bay,CRC,2292511.39,27.25,6.3,6.2,3938326,60912,14287266,0.13,0.67,0.004,0.276,11.9,0.00,D
1023,Otanerito Bay,CRC,646767.76,11.17,0.2,6.8,1149306,25213,4377324,0.15,0.69,0.006,0.263,17.3,0.00,D
1024,Sleepy Bay,CRC,178049.64,2.88,3.4,6.6,311499,6448,1171835,0.19,0.72,0.006,0.266,16.2,0.00,D
1025,Stony Bay,CRC,278286.24,7.05,1.8,6.7,490309,15897,1856834,0.22,0.78,0.009,0.264,25.3,0.00,D
1026,Flea Bay,CRC,685292.16,10.16,1.3,9.7,1205445,22800,6617243,0.13,0.66,0.003,0.182,14.8,0.00,D
1027,Damons Bay,CRC,693517.75,5.74,0.0,14.6,1227804,12635,10108813,0.14,0.65,0.001,0.121,8.3,0.00,D
1028,Akaroa Harbour,CRC,43015469.28,127.50,3.2,10.6,75076211,288469,455980646,0.03,0.38,0.001,0.165,3.0,0.00,E
1029,Island Bay,CRC,201848.56,4.28,0.0,9.1,357393,9322,1842196,0.14,0.64,0.005,0.194,21.2,0.00,D
1030,Long Bay,CRC,837416.11,7.67,0.5,6.9,1480823,16939,5739598,0.25,0.62,0.003,0.258,9.2,0.00,D
1031,Horseshoe Bay,CRC,1024273.21,8.59,0.4,10.8,1961739,18870,11022650,0.23,0.57,0.002,0.178,8.4,0.00,D
1032,Peraki Bay,CRC,1183457.16,18.05,1.4,7.1,2088307,40755,8392199,0.14,0.65,0.005,0.249,15.3,0.00,D
1033,Te Oka Bay,CRC,762040.73,9.12,1.6,5.7,1346473,20434,4347854,0.20,0.61,0.005,0.310,12.0,0.00,D
1034,Tumbledown Bay,CRC,172288.63,4.92,5.7,4.7,298381,10947,804808,0.19,0.74,0.014,0.371,28.5,0.00,D
1035,Lake Forsyth,CRC,5594633.35,109.39,1.5,1.0,0,244993,5512392,0.00,0.45,0.044,0.000,19.6,0.00,A
1036,Lake Ellesmere (Waihora),CRC,198162340.9,2634.71,9.6,0.9,0,2973178,179138756,0.00,0.33,0.017,0.000,13.3,0.00,A
1037,Rakaia River,CRC,610015.64,2860.87,2.0,2.7,1072729,8388015,1670605,0.01,0.25,5.021,0.642,4689.8,0.03,C
1038,Ashburton River,CRC,42257.76,1654.68,3.1,2.7,73445,3103659,114401,0.00,0.36,27.130,0.642,39156.9,0.15,C
1039,Rangitata River,CRC,79040.06,1714.98,0.9,2.7,137630,5567508,215935,0.02,0.32,25.783,0.637,21697.6,0.02,C
1040,Opihi River,CRC,160448.32,2372.78,0.8,2.7,278647,3003662,437747,0.01,0.24,6.862,0.637,14788.5,0.05,C
1041,Washdyke Lagoon,CRC,230546.1,96.81,0.1,1.0,0,78617,230269,0.00,0.54,0.341,0.000,419.9,0.00,A
1042,Saltwater Creek,CRC,109627.14,45.98,0.0,1.0,0,35924,109594,0.00,0.22,0.328,0.000,419.4,0.24,A
1044,Wainono Lagoon,ORC,3984960.45,167.79,4.8,1.0,0,146213,3792088,0.00,0.53,0.039,0.000,42.1,0.00,A
1045,Waihao River,ORC,358476.42,658.76,0.0,1.0,0,671639,358476,0.00,0.15,1.874,0.000,1837.7,0.14,A
1046,Waitaki River,ORC,585708.68,11947.01,3.1,2.6,932411,24903965,1499963,0.01,0.28,16.603,0.622,20397.5,0.05,C
1047,Kakanui River,ORC,190706.67,886.75,0.0,2.6,308411,1008766,499117,0.01,0.27,2.021,0.618,4649.8,0.38,B
1048,Orore Creek,ORC,84795.14,17.62,0.1,1.0,0,15147,84727,0.00,0.29,0.179,0.000,207.7,0.00,A
1049,Shag River,ORC,726203.83,541.33,63.1,1.8,796648,592345,1332877,0.00,0.20,0.444,0.598,745.4,0.27,C
1050,Stony Creek,ORC,155168.82,9.10,87.0,1.0,140673,7762,160907,0.02,0.45,0.048,0.874,58.7,0.00,E
1051,Pleasant River,ORC,973104.77,125.70,75.8,1.5,971541,110721,1443302,0.00,0.24,0.077,0.673,129.2,0.00,F
1052,Waikouaiti Lagoon,ORC,494177.67,17.92,95.0,0.1,0,15153,24857,0.02,0.50,0.610,0.000,36.3,0.00,A
1053,Waikouaiti River,ORC,1272546.53,421.40,67.7,1.7,1359584,457551,2180631,0.00,0.20,0.210,0.623,331.1,0.20,F
1054,Blueskin Bay,ORC,6230597.06,90.64,85.8,1.2,5787209,130457,7559191,0.01,0.43,0.017,0.766,14.5,0.00,E
1055,Purakunui Inlet,ORC,1130231.35,8.88,88.2,1.1,1027041,10956,1294680,0.01,0.53,0.008,0.793,7.9,0.00,E
1056,Otago Harbour,ORC,47912396.08,115.60,45.3,3.9,60304035,164671,184773975,0.01,0.30,0.001,0.326,2.4,0.00,E
1057,Papanui Inlet,ORC,3629213.62,10.81,89.9,1.1,3237684,12225,3968608,0.04,0.63,0.003,0.816,3.0,0.00,E
1058,Hoopers Inlet,ORC,3750747.6,8.46,94.8,1.0,3246593,9389,3636671,0.02,0.56,0.003,0.893,2.3,0.00,E
1059,Tomahawk Lagoon,ORC,197138.46,4.89,1.7,1.0,0,5445,193787,0.03,0.57,0.028,0.000,24.8,0.00,A
1060,Kaikorai Stream,ORC,640559.98,49.14,14.2,3.3,1001228,58088,2100301,0.07,0.27,0.028,0.477,76.7,0.30,F
1061,Taieri River,ORC,1559802.23,5702.70,10.0,2.5,2511015,6056860,3915461,0.03,0.27,1.547,0.641,3656.0,0.42,B
1062,Akatore Creek,ORC,328983.08,68.50,34.1,2.7,462359,77752,895893,0.04,0.27,0.087,0.516,208.2,0.29,F
1063,Tokomairiro River,ORC,600104.16,394.99,51.1,1.8,765229,447529,1058980,0.01,0.24,0.423,0.723,658.2,0.34,B
1064,Clutha River,ORC,6201797.18,21062.45,5.4,2.6,10535431,39999326,16401711,0.01,0.08,2.439,0.642,3396.2,0.29,C
1066,Catlins River,ORC,7868741.12,401.72,65.5,1.9,9328222,641358,14762375,0.03,0.34,0.043,0.632,51.1,0.37,E
1067,Tahakopa River,ORC,860340.48,310.01,30.9,2.3,1345484,621423,1939721,0.01,0.20,0.320,0.694,360.3,0.43,B
